NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,,single_combination,Dose_finding,Design,other_design,more_than_one_drug,n_finding,dose_level,comment_finding,Dose_expansion,n_expansion,toxicity_stopping_rule,comment_expansion,phase2,n_phase2,comment_phase2,,,,,
NCT03730012,A Study of ASP2215 (Gilteritinib) Combined With Atezolizumab in Patients With Relapsed or Treatment Refractory FMS-like Tyrosine Kinase (FLT3) Mutated Acute Myeloid Leukemia (AML),https://clinicaltrials.gov/study/NCT03730012,COMPLETED,Acute Myeloid Leukemia (AML)|Acute Myeloid Leukemia With FMS-like Tyrosine Kinase (FLT3) Mutation,DRUG: gilteritinib|DRUG: atezolizumab,"Astellas Pharma Global Development, Inc.",,INTERVENTIONAL,,Combination,Yes,3+3,,Yes,11,2,,Yes,11,Yes,,Yes,11,Same as dose-expansion,,,,,
NCT03348514,"Safety, Dose Tolerance, Pharmacokinetics, and Pharmacodynamics Study of CPX-POM in Patients With Advanced Solid Tumors",https://clinicaltrials.gov/study/NCT03348514,COMPLETED,Advanced Solid Tumors,DRUG: CPX-POM - 30 mg/m^2|DRUG: CPX-POM - 60 mg/m^2|DRUG: CPX-POM - 120 mg/m^2|DRUG: CPX-POM - 240 mg/m^2|DRUG: CPX-POM - 360 mg/m^2|DRUG: CPX-POM - 600 mg/m^2|DRUG: CPX-POM - 900 mg/m^2|DRUG: CPX-POM - 1200 mg/m^2,CicloMed LLC,Cmed Clinical Services,INTERVENTIONAL,,Single ,Yes,3+3,,No,19,8,,No,,,,No,,,,,,,
NCT03486314,A Study to Evaluate the Effects of Rifampin on Pharmacokinetics (PK) of Pevonedistat in Participants With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT03486314,COMPLETED,Advanced Solid Neoplasm,DRUG: Pevonedistat|DRUG: Rifampin|DRUG: Docetaxel|DRUG: Carboplatin|DRUG: Paclitaxel,"Millennium Pharmaceuticals, Inc.",,INTERVENTIONAL,,Combination,,,,,,,,,,,,,,,,,,,
NCT04030195,Dose-escalation Study of Safety of PBCAR20A in Subjects With r/r NHL or r/r CLL/SLL,https://clinicaltrials.gov/study/NCT04030195,COMPLETED,"Non-Hodgkin's Lymphoma, Relapsed|Chronic Lymphoid Leukemia in Relapse|Non-Hodgkin's Lymphoma Refractory|Chronic Lymphocytic Leukemia|Lymphoma, Non-Hodgkin|Leukemia, Lymphocytic, Chronic|B-cell Chronic Lymphocytic Leukemia|B-cell Non Hodgkin Lymphoma|Small Lymphocytic Lymphoma",GENETIC: PBCAR20A|DRUG: Fludarabine|DRUG: Cyclophosphamide,"Precision BioSciences, Inc.",,INTERVENTIONAL,,Combination,Yes,3+3,,No,18,3,,Yes,0,,did not proceed,Yes,0,Same as dose-expansion,,,,,
NCT03447314,Study of a Combination of GSK1795091 and Immunotherapies in Subjects With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT03447314,COMPLETED,Neoplasms,DRUG: GSK1795091|DRUG: GSK3174998|DRUG: GSK3359609|DRUG: Pembrolizumab,GlaxoSmithKline,Iqvia Pty Ltd,INTERVENTIONAL,,Combination,Yes,,,No,54,10,,Yes,,,did not proceed,No,,,,,,,
NCT03489369,Sym022 (Anti-LAG-3) in Patients With Advanced Solid Tumor Malignancies or Lymphomas,https://clinicaltrials.gov/study/NCT03489369,COMPLETED,Metastatic Cancer|Solid Tumor|Lymphoma,DRUG: Sym022,Symphogen A/S,,INTERVENTIONAL,,Single ,Yes,3+3,,No,15,4,,No,,,,No,,,,,,,
NCT03941769,2018-0674 - IL-7 for T-Cell Recovery Post Haplo and CB Transplant - Phase I/II,https://clinicaltrials.gov/study/NCT03941769,COMPLETED,"Acute Myeloid Leukemia|Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Cord Blood Transplant Recipient|Myelodysplastic Syndrome|Myeloproliferative Neoplasm",BIOLOGICAL: Recombinant Interleukin-7,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,,,,,,,,,,,,,,,,,,,,,
NCT04116710,A Phase 1 Study of HS130 in Combination With Viagenpumatucel-L (HS110) in Patients With Solid Tumors,https://clinicaltrials.gov/study/NCT04116710,COMPLETED,Advanced Solid Tumor,BIOLOGICAL: HS-110 (viagenpumatucel-L)|BIOLOGICAL: HS-130,Heat Biologics,,INTERVENTIONAL,,Combination,Yes,3+3,,Yes,16,7,,No,,,,No,,,,,,,
NCT03665285,A Safety and Tolerability Study of NC318 in Subjects With Advanced or Metastatic Solid Tumors,https://clinicaltrials.gov/study/NCT03665285,COMPLETED,Advanced or Metastatic Solid Tumors|Lung Cancer|Breast Cancer|Head and Neck Squamous Cell Carcinoma|Endometrial Cancer|Melanoma|CRC|Urothelial Carcinoma|Cholangiocarcinoma,DRUG: NC318,"NextCure, Inc.",,INTERVENTIONAL,,Single ,Yes,3+3,,Yes,109,7,,Yes,109,No,total enrollment N=109,,,,,,,,
NCT03701295,"Pinometostat and Azacitidine in Treating Patients With Relapsed, Refractory, or Newly Diagnosed Acute Myeloid Leukemia With 11q23 Rearrangement",https://clinicaltrials.gov/study/NCT03701295,COMPLETED,Acute Myeloid Leukemia With t(9;11)(p21.3;q23.3); MLLT3-MLL|Leukemia Cutis|Recurrent Acute Myeloid Leukemia|Refractory Acute Myeloid Leukemia,DRUG: Azacitidine|DRUG: Pinometostat,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,3+3,,Yes,1,2,,No,,,skipped to Phase 2,Yes,1,total enrollment N=1,,,,,
NCT05045638,Effect of Coadministration of Sotorasib on the Pharmacokinetics of Rosuvastatin in Healthy Participants,https://clinicaltrials.gov/study/NCT05045638,COMPLETED,Healthy Participants,DRUG: Rosuvastatin|DRUG: Sotorasib,Amgen,,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT03665155,"First-in- Human Imaging of Multiple Myeloma Using 89Zr-DFO-daratumumab, a CD38-targeting Monoclonal Antibody",https://clinicaltrials.gov/study/NCT03665155,COMPLETED,Multiple Myeloma,DRUG: 89Zr-daratumumab|DEVICE: PET/CT scans|OTHER: Blood draws,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL,,Combination,No,,,,,,,No,,,,No,,,,,,,
NCT03877055,A Study of Copanlisib and Ibrutinib in Mantle Cell Lymphoma,https://clinicaltrials.gov/study/NCT03877055,COMPLETED,Mantle Cell Lymphoma (MCL),DRUG: Copanlisib|DRUG: Ibrutinib,Memorial Sloan Kettering Cancer Center,Bayer,INTERVENTIONAL,,Combination,Yes,3+3,,Yes,8,3,,Yes,8,Yes,,Yes,8,Same as dose-expansion,,,,,
NCT04524455,Blinatumomab in Combination With AMG 404 for the Treatment of Adults With Relapsed or Refractory B Cell Precursor ALL,https://clinicaltrials.gov/study/NCT04524455,COMPLETED,Acute Lymphoblastic Leukemia,DRUG: Blinatumomab|DRUG: AMG 404|DRUG: Dexamethasone Premedication,Amgen,,INTERVENTIONAL,,Combination,Yes,,,Yes,17,,,Yes,17,No,,Yes,17,Same as dose-expansion,,,,,
NCT03544281,"To Evaluate Safety, Tolerability, and Clinical Activity of the Antibody-drug Conjugate, GSK2857916 Administered in Combination With Lenalidomide Plus Dexamethasone (Arm A), or in Combination With Bortezomib Plus Dexamethasone (Arm B) in Participants With Relapsed/Refractory Multiple Myeloma (RRMM)",https://clinicaltrials.gov/study/NCT03544281,COMPLETED,Multiple Myeloma,DRUG: Belantamab mafodotin|DRUG: Lenalidomide|DRUG: Dexamethasone|DRUG: Bortezomib,GlaxoSmithKline,Iqvia Pty Ltd,INTERVENTIONAL,,Combination,Yes,,,Yes,153,3,,Yes,153,Yes,,Yes,153,Same as dose-expansion,,,,,
NCT03131999,LAM Pilot Study With Imatinib Mesylate,https://clinicaltrials.gov/study/NCT03131999,COMPLETED,Lymphangioleiomyomatosis,DRUG: Imatinib Mesylate 400Mg Capsule|DRUG: Placebo - Capsule,Medical University of South Carolina,Columbia University,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT03329937,Study Evaluating the Antitumor Activity and Safety of Niraparib as Neoadjuvant Treatment in Participants With Breast Cancer,https://clinicaltrials.gov/study/NCT03329937,COMPLETED,"Neoplasms, Breast",DRUG: Niraparib,"Tesaro, Inc.",,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT04319159,Study to Evaluate the Safety of BF-200 ALA (Ameluz®) for Photodynamic Therapy (PDT) in the Treatment of Expanded Fields of Actinic Keratosis (AK),https://clinicaltrials.gov/study/NCT04319159,COMPLETED,Actinic Keratoses,COMBINATION_PRODUCT: BF-200 ALA and red light LED lamp,Biofrontera Bioscience GmbH,,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT03892642,Avelumab Plus Bacille Calmette-Guerin (BCG) in Patients With Non-muscle Invasive Bladder Cancer,https://clinicaltrials.gov/study/NCT03892642,COMPLETED,Bladder Cancer,DRUG: Avelumab|BIOLOGICAL: BCG,University of Oklahoma,EMD Serono,INTERVENTIONAL,,Combination,Yes,3+3,,Yes,18,3,,Yes,18,No,,Yes,18,Same as dose-expansion,,,,,
NCT03391232,PolyPEPI1018 Vaccine and CDx for the Treatment of Metastatic Colorectal Cancer (OBERTO),https://clinicaltrials.gov/study/NCT03391232,COMPLETED,Colorectal Cancer,BIOLOGICAL: PolyPEPI1018 CRC Vaccine,Treos Bio Zrt,Mayo Clinic|University of Pisa|Laboratory Corporation of America|PPD|ImmunXperts SA,INTERVENTIONAL,,Single ,No,,,,,,,Yes,11,Yes,,Yes,11,Same as dose-expansion,,,,,
NCT04148937,A Study of the CD73 Inhibitor LY3475070 Alone or in Combination With Pembrolizumab in Participants With Advanced Cancer,https://clinicaltrials.gov/study/NCT04148937,COMPLETED,Advanced Cancer,DRUG: LY3475070|DRUG: Pembrolizumab,Eli Lilly and Company,Merck Sharp & Dohme LLC,INTERVENTIONAL,,Both,Yes,Other,Parallel Assignment,Yes,52,2,,Yes,52,No,,No,,,,,,,
NCT03531632,MGD007 Combined With MGA012 in Relapsed/Refractory Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT03531632,COMPLETED,Colorectal Cancer Metastatic,BIOLOGICAL: MGD007 + MGA012,MacroGenics,,INTERVENTIONAL,,Combination,Yes,,,Yes,,3,,No,,,,Yes,,no info ,,,,,
NCT03490032,68Ga-PSMA-R2 in Patients With Biochemical Relapse (BR) and Metastatic Prostate Cancer (mPCa),https://clinicaltrials.gov/study/NCT03490032,COMPLETED,Prostate Cancer Metastatic,DRUG: [68Ga]-PSMA-R2,Advanced Accelerator Applications,,INTERVENTIONAL,,Single ,No,,,,,,,Yes,30,No,,Yes,30,Same as dose-expansion,,,,,
NCT04074343,TAS-102 and Irinotecan in 2L+ Gastric and Gastroesophageal Adenocarcinoma,https://clinicaltrials.gov/study/NCT04074343,COMPLETED,Gastric Adenocarcinoma|GastroEsophageal Cancer,DRUG: TAS-102|DRUG: Irinotecan,"University of California, Irvine","Taiho Pharmaceutical Co., Ltd.",INTERVENTIONAL,,Combination,Yes,,,Yes,20,,,Yes,20,No,,,,,,,,,
NCT03489343,Sym023 (Anti-TIM-3) in Patients With Advanced Solid Tumor Malignancies or Lymphomas,https://clinicaltrials.gov/study/NCT03489343,COMPLETED,Metastatic Cancer|Solid Tumor|Lymphoma,DRUG: Sym023,Symphogen A/S,,INTERVENTIONAL,,Single ,Yes,,,No,,7,,No,,,,No,,,,,,,
NCT04534738,The Effect of a Mediterranean Diet Intervention on Cancer-related Fatigue and Mitochondrial Function During Chemotherapy,https://clinicaltrials.gov/study/NCT04534738,COMPLETED,Cancer,BEHAVIORAL: Mediterranean Diet,University of Rochester,,INTERVENTIONAL,,None,No,,,,,,,No,,,,No,,,,,,,
NCT04629443,Phase I/II Trial of S64315 Plus Azacitidine in Acute Myeloid Leukaemia,https://clinicaltrials.gov/study/NCT04629443,COMPLETED,Acute Myeloid Leukaemia,DRUG: S 64315 (also referred as MIK665) and azacitidine,Institut de Recherches Internationales Servier,"ADIR, a Servier Group company",INTERVENTIONAL,,Combination,Yes,,,No,,,,No,,,,No,,,,,,,
NCT03359850,Pharmacokinetic and Safety Study of Niraparib With Normal or Moderate Hepatic Impairment Patients,https://clinicaltrials.gov/study/NCT03359850,COMPLETED,Ovarian Neoplasms|Neoplasms|Solid Tumor|Hepatic Impairment,DRUG: Niraparib,"Tesaro, Inc.",,INTERVENTIONAL,,Single ,Yes,,,No,17,3,,Yes,17,No,,No,,,,,,,
NCT04551950,Bintrafusp Alfa Combination Therapy in Participants With Cervical Cancer (INTR@PID 046),https://clinicaltrials.gov/study/NCT04551950,COMPLETED,Cervical Cancer,DRUG: M7824|DRUG: Carboplatin|DRUG: Paclitaxel|DRUG: Bevacizumab|DRUG: Cisplatin|RADIATION: Radiotherapy,"EMD Serono Research & Development Institute, Inc.","Merck KGaA, Darmstadt, Germany",INTERVENTIONAL,,Combination,No,,,,,,,,,,,,,,,,,,
NCT02834052,Pembrolizumab + Poly-ICLC in MRP Colon Cancer,https://clinicaltrials.gov/study/NCT02834052,COMPLETED,Metastatic Colon Cancer|Solid Tumor,DRUG: pembrolizumab|DRUG: Poly-ICLC,Asha Nayak,"Oncovir, Inc.|Merck Sharp & Dohme LLC",INTERVENTIONAL,,Combination,Yes,3+3,,Yes,42,3,,Yes,42,No,,Yes,42,Same as dose-expansion,,,,,
NCT03300570,Dolcanatide in Preventing Colorectal Cancer in Healthy Volunteers,https://clinicaltrials.gov/study/NCT03300570,COMPLETED,Colorectal Carcinoma,DRUG: Dolcanatide|OTHER: Laboratory Biomarker Analysis|OTHER: Placebo Administration|OTHER: Questionnaire Administration,National Cancer Institute (NCI),,INTERVENTIONAL,,Single ,Yes,,,No,27,,,No,,,,No,,,,,,,
NCT03770000,Safety and Efficacy of Tenalisib (RP6530) in Combination With Romidepsin in Patients With Relapsed/Refractory T-cell Lymphoma,https://clinicaltrials.gov/study/NCT03770000,COMPLETED,T Cell Lymphoma,DRUG: Tenalisib|DRUG: Romidepsin,Rhizen Pharmaceuticals SA,,INTERVENTIONAL,,Combination,Yes,3+3,,No,33,3,,Yes,33,Yes,,Yes,33,Same as dose-expansion,,,,,
NCT03636256,Evaluation of NanoDoce® in Participants With Urothelial Carcinoma,https://clinicaltrials.gov/study/NCT03636256,COMPLETED,Bladder Cancer|Urothelial Carcinoma|Urinary Bladder Neoplasm|Urinary Bladder Cancer|Urogenital Neoplasms|Urologic Neoplasms|Urologic Cancer|Malignant Tumor of the Urinary Bladder|Cancer of the Bladder,DRUG: NanoDoce (direct injection)|DRUG: NanoDoce (intravesical instillation) - Visit 2 Instillation|OTHER: Institutional Standard of Care|DRUG: NanoDoce (intravesical instillation) - Induction and Maintenance Instillations,"NanOlogy, LLC","US Biotest, Inc.",INTERVENTIONAL,,Single ,Yes,3+3,,No,36,4,,No,,,,Yes,36,total enrollment N=36,,,,,
NCT03704688,Trial of Trametinib and Ponatinib in Patients With KRAS Mutant Advanced Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT03704688,COMPLETED,Non Small Cell Lung Cancer|KRAS Gene Mutation,DRUG: Trametinib 0.5 mg|DRUG: Trametinib 1 MG|DRUG: Trametinib 1.5 MG|DRUG: Trametinib 2 mg|DRUG: Ponatinib 15 MG|DRUG: Ponatinib 30 MG,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL,,Combination,Yes,3+3,Parallel Assignment,Yes,12,5,,No,,,,Yes,12,total enrollment N=12,,,,,
NCT03835533,Platform Study for Prostate Researching Translational Endpoints Correlated to Response to Inform Use of Novel Combinations,https://clinicaltrials.gov/study/NCT03835533,COMPLETED,Metastatic Castration-resistant Prostate Cancer,"DRUG: NKTR-214 (Cohort A)|DRUG: Nivolumab (Cohort A, B and C)|RADIATION: Stereotactic body radiation therapy (SBRT) (Cohort B)|DRUG: CDX-301 (Cohort B and C)|DRUG: Poly-ICLC (Cohort B)|DRUG: INO-5151 (Cohort C)|DEVICE: Cellectra 2000",Parker Institute for Cancer Immunotherapy,"Bristol-Myers Squibb|Celldex Therapeutics|Cancer Research Institute, New York City|Inovio Pharmaceuticals|Oncovir, Inc.",INTERVENTIONAL,,Combination,No,,,,,,,No,,,,No,,,,,,,
NCT03840915,M7824 in Combination With Chemotherapy in Stage IV Non-small Cell Lung Cancer (NSCLC),https://clinicaltrials.gov/study/NCT03840915,COMPLETED,"Carcinoma, Non-Small-Cell Lung",DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Nab-paclitaxel|DRUG: Gemcitabine|DRUG: Docetaxel|DRUG: M7824|DRUG: Carboplatin|DRUG: Carboplatin|DRUG: Bintrafusp alfa|DRUG: Paclitaxel,"EMD Serono Research & Development Institute, Inc.","Merck KGaA, Darmstadt, Germany",INTERVENTIONAL,,Combination,No,,,,,,,Yes,70,No,,Yes,70,Same as dose-expansion,,,,,
NCT03394885,Atezolizumab With Neoadjuvant Chemotherapy for Patients With Newly-Diagnosed Advanced-Stage Ovarian Cancer,https://clinicaltrials.gov/study/NCT03394885,COMPLETED,Ovarian Cancer|Ovarian Neoplasms,DRUG: Atezolizumab|DRUG: Carboplatin|DRUG: Paclitaxel|DRUG: Bevacizumab,Duke University,"Johns Hopkins University|Genentech, Inc.",INTERVENTIONAL,,Combination,No,,,,,,,Yes,18,Yes,,Yes,18,Same as dose-expansion,,,,,
NCT03291288,Effect of Pexidartinib on the Way the Body Processes CYP3A4 and CYP2C9 Substrates (Pharmacokinetics),https://clinicaltrials.gov/study/NCT03291288,COMPLETED,Drug Interaction Potential,DRUG: Tolbutamide|DRUG: Midazolam|DRUG: Pexidartinib,Daiichi Sankyo,,INTERVENTIONAL,,Single ,No,,,,,,,Yes,32,No,,No,,,,,,,
NCT03853707,"Ipatasertib in Combination With Carboplatin, Carboplatin/Paclitaxel, or Capecitabine/Atezolizumab in Treating Patients With Metastatic Triple Negative Breast Cancer",https://clinicaltrials.gov/study/NCT03853707,COMPLETED,Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Triple-Negative Breast Carcinoma|Prognostic Stage IV Breast Cancer AJCC v8,DRUG: Atezolizumab|DRUG: Capecitabine|DRUG: Carboplatin|DRUG: Ipatasertib|DRUG: Paclitaxel|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL,,Combination,Yes,3+3,,Yes,28,,,Yes,28,,,Yes,28,Same as dose-expansion,,,,,
NCT03989115,Dose-Esc/Exp RMC4630 & Cobi in Relapsed/Refractory Solid Tumors & RMC4630& Osi in EGFR+ Locally Adv/Meta NSCLC,https://clinicaltrials.gov/study/NCT03989115,COMPLETED,Solid Tumor,DRUG: RMC-4630|DRUG: Cobimetinib|DRUG: Drug: Osimertinib,"Revolution Medicines, Inc.",Sanofi,INTERVENTIONAL,,Combination,Yes,CRM,,Yes,117,2,,Yes,,No,,Yes,,Same as dose-expansion,,,,,
NCT03611556,MEDI9447(Oleclumab) Pancreatic Chemotherapy Combination Study.,https://clinicaltrials.gov/study/NCT03611556,COMPLETED,Carcinoma|Metastatic Pancreatic Adenocarcinoma,DRUG: Oleclumab|DRUG: Durvalumab|DRUG: Gemcitabine|DRUG: Nab-paclitaxel|DRUG: Oxaliplatin|DRUG: Folinic acid|DRUG: 5-FU,MedImmune LLC,,INTERVENTIONAL,,Combination,Yes,,,No,213,3,,Yes,213,No,,Yes,213,Same as dose-expansion,,,,,
NCT03548207,"A Study of JNJ-68284528, a Chimeric Antigen Receptor T Cell (CAR-T) Therapy Directed Against B-Cell Maturation Antigen (BCMA) in Participants With Relapsed or Refractory Multiple Myeloma",https://clinicaltrials.gov/study/NCT03548207,COMPLETED,Multiple Myeloma,BIOLOGICAL: JNJ-68284528,"Janssen Research & Development, LLC",,INTERVENTIONAL,,Single ,Yes,,,No,126,3,,No,,,,Yes,126,total enrollment N=126,,,,,
NCT03773107,LCI-HEM-MYE-CRD-004 (MMRC-073 CARJAK): Study of CRD for Carfilzomib-Refractory Multiple Myeloma,https://clinicaltrials.gov/study/NCT03773107,COMPLETED,Multiple Myeloma,DRUG: Carfilzomib|DRUG: Ruxolitinib|DRUG: Dexamethasone,Wake Forest University Health Sciences,Incyte Corporation|Multiple Myeloma Research Consortium|Amgen,INTERVENTIONAL,,Combination,Yes,3+3,,No,12,3,,No,,,,Yes,12,total enrollment N=12,,,,,
NCT03958656,T-cells Expressing an Anti-SLAMF7 CAR for Treating Multiple Myeloma,https://clinicaltrials.gov/study/NCT03958656,COMPLETED,"Myeloma-Multiple|Myeloma, Plasma-Cell",DRUG: Cyclophosphamide|DRUG: Fludarabine|DRUG: Rimiducid|BIOLOGICAL: Anti-Signaling lymphocytic activation molecule F7 (SLAMF7) chimeric antigen receptor (CAR) T cells,National Cancer Institute (NCI),,INTERVENTIONAL,,Single ,Yes,3+3,,No,13,5,,No,,,,No,,,,,,,
NCT04177693,Pharmacokinetics and Hepatic Safety of EGCG,https://clinicaltrials.gov/study/NCT04177693,COMPLETED,Uterine Fibroids,DIETARY_SUPPLEMENT: Epigallocatechin gallate (EGCG)|DRUG: Clomiphene Citrate|DRUG: Letrozole,Yale University,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|University of Illinois at Chicago|Johns Hopkins University|University of Chicago,INTERVENTIONAL,,Both,No,,,,,,,No,,,,No,,,,,,,
NCT03258593,Durvalumab and Vicineum in Subjects With High-Grade Non-Muscle-Invasive Bladder Cancer Previously Treated With Bacillus Calmette-Guerin (BCG),https://clinicaltrials.gov/study/NCT03258593,COMPLETED,Urinary Bladder Neoplasms,DRUG: Durvalumab|DRUG: Vicineum|DRUG: Acetaminophen|DRUG: Antihistamine|PROCEDURE: Bladder Biopsy|PROCEDURE: TURBT|PROCEDURE: Cystoscopy|DIAGNOSTIC_TEST: Urine cytology|DIAGNOSTIC_TEST: Electrocardiogram|DIAGNOSTIC_TEST: CT|DIAGNOSTIC_TEST: MRI,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,3+3,,Yes,15,2,,Yes,15,No,,No,,,,,,,
NCT04803305,Study to Compare the Effects of Repeated Doses of an Investigational New Drug and a Placebo on Appetite in Advanced Cancer and Anorexia,https://clinicaltrials.gov/study/NCT04803305,COMPLETED,Non-small Cell Lung Cancer|Pancreatic Cancer|Colorectal Cancer|Prostate Cancer|Breast Cancer|Ovarian Cancer|Loss of Appetite|Fatigue|Cachexia|Anorexia,DRUG: PF-06946860|DRUG: Placebo for PF-06946860,Pfizer,,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT04685811,Evaluation of PSMA Antagonist Produced by Two Different Methods,https://clinicaltrials.gov/study/NCT04685811,COMPLETED,Metastatic Prostate Adenocarcinoma,DRUG: 68Ga-PSMA-generator vs. 68Ga-PSMA-cyclotron,Weill Medical College of Cornell University,National Institutes of Health (NIH)|National Cancer Institute (NCI),INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT03430011,Study Evaluating the Safety and Efficacy of JCARH125 in Subjects With Relapsed and/or Refractory Multiple Myeloma,https://clinicaltrials.gov/study/NCT03430011,COMPLETED,Multiple Myeloma,BIOLOGICAL: JCARH125|BIOLOGICAL: JCARH125 + anakinra,"Juno Therapeutics, a Subsidiary of Celgene",,INTERVENTIONAL,,Both,Yes,mTPI,,No,165,5,,Yes,165,No,,Yes,165,Same as dose-expansion,,,,,
NCT03346161,Optimizing Decision Making About Breast Reconstruction After Mastectomy: A Patient-Centered Approach,https://clinicaltrials.gov/study/NCT03346161,COMPLETED,Breast Cancer,"OTHER: Usual care American Society of Plastic Surgeons booklet ""Breast Reconstruction""|OTHER: Decision tool|OTHER: Usual Care Group - Outcome Measures|OTHER: Decision Group - Outcome Measures|OTHER: Demographic and Background Questions",Washington University School of Medicine,,INTERVENTIONAL,,None,No,,,,,,,No,,,,No,,,,,,,
NCT04574583,"Phase I/II Trial Investigating the Safety, Tolerability, Pharmacokinetics, Immune and Clinical Activity of SX-682 in Combination With BinTrafusp Alfa (M7824 or TGF-beta ""Trap""/PD-L1) With CV301 TRICOM in Advanced Solid Tumors (STAT)",https://clinicaltrials.gov/study/NCT04574583,COMPLETED,Metastatic Cancer|Solid Tumors,DRUG: SX-682|DRUG: M7824|BIOLOGICAL: MVA-BN-CV301|BIOLOGICAL: recombinant fowlpox viral (FPV)-CV301,National Cancer Institute (NCI),,INTERVENTIONAL,,Both,Yes,3+3,,No,12,5,,Yes,12,Yes,,Yes,12,Same as dose-expansion,,,,,
NCT03332498,"Pembrolizumab in Combination With Ibrutinib for Advanced, Refractory Colorectal Cancers",https://clinicaltrials.gov/study/NCT03332498,COMPLETED,Colon Cancer|Colorectal Cancer|Colorectal Carcinoma|Colon Disease,DRUG: Pembrolizumab|DRUG: Ibrutinib,H. Lee Moffitt Cancer Center and Research Institute,"Janssen Scientific Affairs, LLC|Merck Sharp & Dohme LLC",INTERVENTIONAL,,Combination,Yes,3+3,,No,40,,,No,,,,Yes,40,total enrollment N=40,,,,,
NCT03745989,Study of MK-8353 + Selumetinib in Advanced/Metastatic Solid Tumors (MK-8353-014),https://clinicaltrials.gov/study/NCT03745989,COMPLETED,Solid Tumors,DRUG: MK-8353|DRUG: Selumetinib,Merck Sharp & Dohme LLC,,INTERVENTIONAL,,Combination,Yes,mTPI,,Yes,30,5,,No,,,,No,,,,,,,
NCT03508726,High Dose Ascorbate With Preoperative Radiation in Patients With Locally Advanced Soft Tissue Sarcomas,https://clinicaltrials.gov/study/NCT03508726,COMPLETED,Soft Tissue Sarcoma,DRUG: Ascorbate,Mohammed Milhem,University of Iowa,INTERVENTIONAL,,Single ,Yes,,,No,25,2,,No,,,,Yes,25,total enrollment N=25,,,,,
NCT04122625,Study to Assess Safety and Efficacy of the Second Mitochondrial-derived Activator of Caspases (SMAC) Mimetic Debio 1143,https://clinicaltrials.gov/study/NCT04122625,COMPLETED,Solid Tumor,DRUG: Debio 1143|DRUG: Nivolumab,Debiopharm International SA,,INTERVENTIONAL,,Combination,Yes,3+3,,No,46,2,,No,,,,Yes,46,total enrollment N=46,,,,,
NCT03840200,"A Study Evaluating the Safety, Pharmacokinetics and Efficacy of Ipatasertib Administered in Combination With Rucaparib in Participants With Advanced Breast, Ovarian Cancer, and Prostate Cancer.",https://clinicaltrials.gov/study/NCT03840200,COMPLETED,Breast Cancer|Prostate Cancer|Ovarian Cancer,DRUG: Ipatasertib|DRUG: Rucaparib,Hoffmann-La Roche,,INTERVENTIONAL,,Combination,Yes,,,Yes,51,3,,Yes,51,No,,No,,,,,,,
NCT03481816,Treatment of Castration Resistant Prostate Cancer Using Multi-Targeted Recombinant Ad5 PSA/MUC1/Brachyury Based Immunotherapy Vaccines,https://clinicaltrials.gov/study/NCT03481816,COMPLETED,Prostatic Neoplasms|Prostatic Cancer,BIOLOGICAL: ETBX-071; adenoviral PSA vaccine|BIOLOGICAL: ETBX-061; adenoviral MUC1 vaccine|BIOLOGICAL: ETBX-051; adenoviral brachyury vaccine,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,,,,18,3,,Yes,18,No,,No,,,,,,,
